,u,v,j,i,X,Y,Z
97,253.88045,848.88184,-12,-2,-6.0,-1.0,5
98,321.025,850.0608,-12,0,-6.0,0.0,5
99,390.16177,852.4342,-12,2,-6.0,1.0,5
100,462.08145,857.5764,-12,4,-6.0,2.0,5
5,469.0501,173.90915,8,4,4.0,2.0,6
6,402.8696,175.9184,8,2,4.0,1.0,6
7,337.36813,177.2559,8,0,4.0,0.0,6
8,274.77814,180.08113,8,-2,4.0,-1.0,6
9,210.32661,181.02567,8,-4,4.0,-2.0,6
10,534.2806,237.21297,6,6,3.0,3.0,6
12,466.05875,238.11598,6,4,3.0,2.0,6
13,399.26,239.86134,6,2,3.0,1.0,6
14,334.18268,241.42003,6,0,3.0,0.0,6
15,271.0951,243.96623,6,-2,3.0,-1.0,6
16,144.48184,246.53488,6,-6,3.0,-3.0,6
17,208.99947,246.1991,6,-4,3.0,-2.0,6
18,533.04254,303.15625,4,6,2.0,3.0,6
19,603.19196,302.69113,4,8,2.0,4.0,6
20,463.94946,303.7866,4,4,2.0,2.0,6
22,397.06808,304.89365,4,2,2.0,1.0,6
23,331.38278,306.14233,4,0,2.0,0.0,6
24,268.0635,308.1923,4,-2,2.0,-1.0,6
25,206.0684,310.24103,4,-4,2.0,-2.0,6
26,144.1915,312.13547,4,-6,2.0,-3.0,6
27,395.0306,370.4109,2,2,1.0,1.0,6
28,462.20248,369.91476,2,4,1.0,2.0,6
29,531.9321,369.98508,2,6,1.0,3.0,6
30,603.02747,370.38843,2,8,1.0,4.0,6
31,329.89474,371.88602,2,0,1.0,0.0,6
33,265.3201,372.98343,2,-2,1.0,-1.0,6
34,203.96613,375.02707,2,-4,1.0,-2.0,6
35,142.3532,376.57877,2,-6,1.0,-3.0,6
36,78.1425,378.5966,2,-8,1.0,-4.0,6
37,393.24628,437.0895,0,2,0.0,1.0,6
38,461.1294,437.0956,0,4,0.0,2.0,6
