,u,v,j,i,X,Y,Z
44,191.7909,494.92456,2,-4,1.0,-2.0,5
45,648.2245,495.2087,2,10,1.0,5.0,5
46,713.9016,494.74805,2,12,1.0,6.0,5
47,261.86792,495.82925,2,-2,1.0,-1.0,5
48,330.07697,496.13068,2,0,1.0,0.0,5
49,587.1095,496.106,2,8,1.0,4.0,5
50,396.9467,496.79044,2,2,1.0,1.0,5
51,461.9073,496.7702,2,4,1.0,2.0,5
52,525.55347,496.6339,2,6,1.0,3.0,5
53,713.99066,560.9511,0,12,0.0,6.0,5
55,586.7297,562.0656,0,8,0.0,4.0,5
56,649.33295,561.47485,0,10,0.0,5.0,5
57,119.9866,562.9638,0,-6,0.0,-3.0,5
58,524.7382,562.99817,0,6,0.0,3.0,5
